code_commune,commune,creations_total,creations_industrie,creations_construction,creations_commerce_transport,creations_info_com,creations_finance,creations_immo,creations_services_admin,creations_adm_sante_social,creations_autres_services,annee
62138,Blangy-sur-Ternoise,4,2,1,1,0,0,0,0,0,0,2017
62139,Blendecques,32,12,2,8,0,1,1,0,6,2,2017
62140,Bléquin,2,0,1,0,0,0,0,0,1,0,2017
62141,Blessy,4,1,1,0,0,1,0,0,1,0,2017
62142,Blingel,2,0,0,1,0,0,1,0,0,0,2017
62143,Boffles,0,0,0,0,0,0,0,0,0,0,2017
62144,Boiry-Becquerelle,6,0,1,3,1,0,0,0,1,0,2017
62145,Boiry-Notre-Dame,3,2,0,0,0,0,0,1,0,0,2017
62146,Boiry-Saint-Martin,1,0,0,1,0,0,0,0,0,0,2017
62147,Boiry-Sainte-Rictrude,2,0,1,1,0,0,0,0,0,0,2017
62148,Bois-Bernard,8,0,1,1,0,1,0,0,5,0,2017
62149,Boisdinghem,3,0,0,1,0,0,0,1,1,0,2017
62150,Boisjean,2,0,0,0,0,0,0,1,0,1,2017
62151,Boisleux-au-Mont,1,0,0,1,0,0,0,0,0,0,2017
62152,Boisleux-Saint-Marc,0,0,0,0,0,0,0,0,0,0,2017
62153,Bomy,3,0,0,1,0,0,0,2,0,0,2017
62154,Bonnières,1,0,0,0,0,0,0,0,0,1,2017
62155,Bonningues-lès-Ardres,3,0,2,1,0,0,0,0,0,0,2017
62156,Bonningues-lès-Calais,2,0,1,0,0,0,0,0,0,1,2017
62157,Boubers-lès-Hesmond,0,0,0,0,0,0,0,0,0,0,2017
62158,Boubers-sur-Canche,2,0,1,1,0,0,0,0,0,0,2017
62160,Boulogne-sur-Mer,289,8,19,117,9,13,14,49,27,33,2017
62161,Bouquehault,8,0,0,2,1,0,1,3,0,1,2017
62162,Bourecq,4,0,2,2,0,0,0,0,0,0,2017
62163,Bouret-sur-Canche,3,1,0,1,0,0,0,0,0,1,2017
62164,Bourlon,7,0,0,1,0,2,1,1,1,1,2017
62165,Bournonville,2,0,0,0,0,0,0,1,0,1,2017
62166,Bours,6,0,1,5,0,0,0,0,0,0,2017
62167,Boursin,0,0,0,0,0,0,0,0,0,0,2017
62168,Bourthes,4,0,1,1,1,0,0,0,0,1,2017
62169,Bouvelinghem,0,0,0,0,0,0,0,0,0,0,2017
62170,Bouvigny-Boyeffles,14,0,2,7,0,0,0,2,1,2,2017
62171,Boyaval,1,0,0,1,0,0,0,0,0,0,2017
62172,Boyelles,1,0,0,1,0,0,0,0,0,0,2017
62173,Brebières,32,3,2,11,1,1,1,8,0,5,2017
62174,Brêmes,3,0,0,1,0,0,1,0,1,0,2017
62175,Brévillers,0,0,0,0,0,0,0,0,0,0,2017
62176,Bréxent-Énocq,2,0,1,0,1,0,0,0,0,0,2017
62177,Brimeux,9,2,0,2,0,0,0,3,1,1,2017
62178,Bruay-la-Buissière,121,3,13,57,2,4,4,21,8,9,2017
62179,Brunembert,3,0,0,2,0,0,0,0,1,0,2017
62180,Brias,1,0,0,1,0,0,0,0,0,0,2017
62181,Bucquoy,3,1,0,0,0,0,0,1,1,0,2017
62182,Buire-au-Bois,0,0,0,0,0,0,0,0,0,0,2017
62183,Buire-le-Sec,8,6,0,0,0,0,0,0,0,2,2017
62184,Buissy,5,0,0,1,0,0,1,0,1,2,2017
62185,Bullecourt,2,0,0,0,0,1,0,1,0,0,2017
62186,Bully-les-Mines,62,2,11,26,2,1,0,11,4,5,2017
62187,Buneville,2,0,0,1,0,0,0,0,0,1,2017
62188,Burbure,6,0,0,4,0,0,0,0,1,1,2017
62189,Bus,3,0,0,0,0,0,0,1,0,2,2017
