code_commune,annee,emploi_total,emploi_moins_25,emploi_25_49,emploi_50_plus
33438,2022,165,20,95,45
33439,2022,120,15,80,30
33440,2022,20,5,15,5
33441,2022,90,15,50,25
33442,2022,45,5,20,20
33443,2022,15,5,5,5
33444,2022,45,5,35,5
33445,2022,55,10,30,20
33446,2022,15,5,10,5
33447,2022,220,25,120,75
33448,2022,175,25,95,60
33449,2022,2020,265,1165,590
33450,2022,30,0,20,10
33451,2022,50,5,25,20
33452,2022,45,5,30,15
33453,2022,15,0,10,5
33454,2022,100,15,50,35
33456,2022,50,5,30,10
33457,2022,55,5,35,20
33458,2022,90,10,55,25
33459,2022,15,5,5,5
33460,2022,55,5,35,15
33461,2022,35,0,20,10
33462,2022,25,5,15,5
33463,2022,100,15,60,25
33464,2022,20,5,10,5
33465,2022,110,10,75,30
33466,2022,225,30,155,40
33467,2022,20,0,10,5
33468,2022,45,10,20,15
33470,2022,50,5,25,20
33471,2022,85,10,50,25
33472,2022,35,5,25,5
33473,2022,305,45,195,65
33474,2022,165,20,105,40
33475,2022,30,5,20,10
33476,2022,75,10,40,25
33477,2022,60,10,30,20
33478,2022,335,55,175,105
33479,2022,25,0,15,10
33480,2022,130,15,75,40
33481,2022,10,0,10,5
33482,2022,25,5,15,5
33483,2022,325,30,180,115
33484,2022,150,20,85,45
33485,2022,130,15,75,40
33486,2022,15,5,10,5
33487,2022,80,5,45,30
33488,2022,25,5,15,5
33489,2022,20,0,15,5
33490,2022,200,35,95,70
33491,2022,25,0,10,10
33492,2022,240,40,145,55
33493,2022,40,5,25,10
33494,2022,75,10,40,25
33496,2022,135,10,85,45
33498,2022,465,70,255,140
33499,2022,25,5,10,10
33500,2022,45,0,25,15
33501,2022,150,10,95,45
33502,2022,55,10,35,10
33503,2022,35,0,25,5
33504,2022,60,10,30,20
33505,2022,115,15,65,35
33506,2022,175,15,105,55
33507,2022,25,5,10,10
33508,2022,50,5,30,15
33509,2022,45,5,25,15
33510,2022,15,0,10,5
33511,2022,25,0,15,10
33512,2022,30,0,15,15
33513,2022,5,0,5,0
33514,2022,280,35,145,100
33515,2022,35,5,20,10
33516,2022,15,0,15,0
33517,2022,115,10,85,20
33518,2022,75,5,40,25
33519,2022,570,60,330,180
33520,2022,35,5,20,10
33521,2022,65,10,30,25
33522,2022,3395,520,2115,765
33523,2022,135,15,80,40
33524,2022,20,0,15,5
33525,2022,115,20,65,35
33526,2022,5,0,5,0
33527,2022,640,80,350,205
