"code_commune","commune","annee","inscrits","abstentions","votants","blancs","nuls","exprimes","taux_abstention","population","part_jeunes","part_seniors","indice_jeunesse","emploi_total","emploi_moins_25","emploi_25_49","emploi_50_plus","creations_total","creations_industrie","creations_construction","creations_commerce_transport","creations_info_com","creations_finance","creations_immo","creations_services_admin","creations_adm_sante_social","creations_autres_services","nombre_infractions_total","taux_infractions_moyen"
"62073","Bailleul-Sir-Berthoult",2017,1092,146,946,24,8,914,"13.36996336996337",1412,"34.82678133958173","22.863208709030484","1.5232674373403192","75","10","45","20","10","0","1","3","0","1","1","1","3","0","32","1.5218721866666667"
"62074","Bailleulval",2017,179,22,157,3,4,150,"12.290502793296088",240,"33.47826086956523","24.782608695652204","1.3508771929824552","10","5","5","0","1","0","0","0","0","0","0","1","0","0","4","0.9921304000000002"
"62075","Baincthun",2017,1094,158,936,14,5,917,"14.442413162705666",1291,"32.84475760964941","24.265530622059924","1.353556125403253","90","20","45","30","11","0","0","3","0","0","1","4","2","1","30","1.5996474466666666"
"62076","Bainghen",2017,165,29,136,4,1,131,"17.575757575757574",227,"33.4862385321101","23.853211009174313","1.403846153846154","15","0","10","5","4","0","1","1","0","0","0","1","1","0","3","0.9174107333333335"
"62077","Bajus",2017,280,56,224,3,2,219,"20",365,"37.26027397260274","21.095890410958905","1.7662337662337662","15","5","10","5","0","0","0","0","0","0","0","0","0","0","7","1.01539172"
"62078","Balinghem",2017,820,147,673,12,3,658,"17.926829268292682",1169,"38.77442683433798","17.844675116784515","2.172884996817183","90","20","40","30","3","0","1","1","0","0","0","1","0","0","23","1.4244329866666667"
"62079","Bancourt",2017,63,6,57,1,0,56,"9.523809523809524",87,"27.90697674418608","30.232558139534856","0.9230769230769251","5","0","5","0","4","1","0","0","0","2","1","0","0","0","0","0.30541315333333335"
"62080","Bapaume",2017,2126,499,1627,45,9,1573,"23.471307619943556",3887,"34.50747888593468","28.921173103192316","1.193156265232054","315","50","185","75","16","0","1","7","0","1","0","1","3","3","258","4.444163799999999"
"62081","Baralle",2017,406,75,331,12,2,317,"18.472906403940886",480,"33.66640933074727","24.00258347299685","1.4026160712500937","40","5","25","10","7","0","2","1","0","0","0","1","1","2","11","1.4488415000000001"
"62082","Barastre",2017,219,43,176,2,1,173,"19.63470319634703",307,"42.671009771986974","20.195439739413683","2.1129032258064515","20","5","15","5","1","0","0","0","0","0","0","1","0","0","5","1.1359052"
